id,author,quote
270,Sir Arthur Conan Doyle,"If you can eliminate all the other choices, the remaining choice, no matter how improbable, is the answer."
271,Sir Edmund Hillary,"It is not the mountain we conquer, but ourselves."
272,Socrates,The unexamined life is not worth living.
273,Socrates,I know nothing except the fact of my ignorance.
274,Soren Kierkegaard,Life can only be understood backwards; but it must be lived forwards.
275,Soren Kierkegaard,"The task must be made difficult, for only the difficult inspires the noble-hearted."
276,Soren Kierkegaard,"The truth is a trap: you can not get it without it getting you; you cannot get the truth by capturing it, only by its capturing you."
277,Soren Kierkegaard,"Worldly wisdom thinks that love is a relationship between man and man. Christianity teaches that love is a relationship between: man-God-man, that is, that God is the middle term."
278,Stanislaus I,To believe with certainty we must begin with doubting.
279,Stephen Covey,The best way to predict the future is to create it.
280,Steve Jones,"I run with my head, my heart and my guts, because physically, I don't think I've got a great deal of talent or ability. I started at the bottom and worked up."
281,Steve Prefontaine,"A man can fail many times, but he isn't a failure until he begins to blame somebody else."
282,Steve Prefontaine,Most people run a race to see who is fastest. I run a race to see who has the most guts.
283,Sun Tzu,"Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win."
284,Sun Tzu,The best victory is when the opponent surrenders of its own accord before there are any actual hostilities...It is best to win without fighting.
285,Suzanne Necker,"Fortune does not change men, it unmasks them."
286,Sydney Harris,"When I hear somebody sigh, 'Life is hard,' I am always tempted to ask, 'Compared to what?'"
287,T.H. Huxley,Try to learn something about everything and everything about something.
288,T.H. Huxley,God give me strength to face a fact though it slay me.
289,T.S. Eliot,Only those who will risk going too far can possibly find out how far they can go.
290,Tallulah Bankhead,"If I had to live my life again, I'd make the same mistakes, only sooner."
291,Terry Josephson,"No matter where you go or what you do, you live your entire life within the confines of your head."
292,Theodore Geisel,"Be who you are and say what you feel, because those who mind don't matter and those who matter don't mind."
293,Theodore Roethke,By daily dying I have come to be.
294,Theodore Roosevelt,"Far better is it to dare mighty things, to win glorious triumphs, even though checkered by failure, than to rank with those poor spirits who neither enjoy nor suffer much, because they live in a gray twilight that knows not victory nor defeat."
295,Thomas Edison,"I have not failed. I've just found 10,000 ways that won't work."
296,Thomas Szasz,"When a person can no longer laugh at himself, it is time for others to laugh at him."
297,Tom Fleming,"Somewhere in the world someone is training when you are not. When you race him, he will win."
298,Unknown,We don't see the things the way they are. We see things the way WE are.
299,Victor Hugo,"I don't mind what Congress does, as long as they don't do it in the streets and frighten the horses."
300,Vince Lombardi,Winning is a habit. Unfortunately so is losing.
301,Vince Lombardi,"In great attempts, it is glorious even to fail."
302,William Wordsworth,We feel that we are greater than we know.
303,Wilson Mizner,"I respect faith, but doubt is what gets you an education."
304,Winston Churchill,"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty."
305,Winston Churchill,"If you are going through hell, keep going."
306,Winston Churchill,"I have nothing to offer but blood, toil, tears, and sweat."
307,Winston Churchill,"Never give in ??never, never, never, never, in nothing great or small, large or petty, never give in except to convictions of honour and good sense. Never yield to force; never yield to the apparently overwhelming might of the enemy."
308,Winston Churchill,"Now this is not the end. It is not even the beginning of the end. But it is, perhaps, the end of the beginning."
309,Winston Churchill,"An appeaser is one who feeds a crocodile, hoping it will eat him last."
310,Winston Churchill,"Success is not final, failure is not fatal: it is the courage to continue that counts."
311,Winston Churchill,History will be kind to me for I intend to write it.
312,Winston Churchill,"You have enemies? Good. That means you've stood up for something, sometime in your life."
313,Winston Churchill,It is not enough that we do our best; sometimes we must do what is required.
314,Winston Churchill,Success is stumbling from failure to failure with no loss of enthusiasm.
